date,team_a,team_b,home_goals,away_goals,half_home_goals,half_away_goals,match_id,result_status,result_source,source_record_id,captured_at_bjt,score_scope,settlement_minutes,result_observations_json
2026-07-11,光州FC,浦项制铁,0,3,,,,,,,,,,
2026-07-11,厄格里特,赫根,4,3,,,,,,,,,,
2026-07-11,图尔库,奥卢,3,0,,,,,,,,,,
2026-07-11,奥勒松,莫尔德,2,2,,,,,,,,,,
2026-07-11,奥尔格里,赫根,4,3,,,,,,,,,,
2026-07-11,拉赫蒂,赫尔辛基,2,0,,,,,,,,,,
2026-07-11,挪威,英格兰,1,1,,,,,,,,,,
2026-07-11,特罗姆瑟,瓦勒伦加,4,0,,,,,,,,,,
2026-07-11,米亚尔比,索尔纳,1,2,,,,,,,,,,
2026-07-11,蔚山现代,全北现代,1,3,,,,,,,,,,
2026-07-11,费特斯塔,利勒斯特,0,2,,,,,,,,,,
2026-07-11,赫尔火花,玛丽港,4,2,,,,,,,,,,
2026-07-11,金泉尚武,富川FC,1,1,,,,,,,,,,
2026-07-11,阿根廷,瑞士,1,1,1,0,,,,,,,,
2026-07-14,吉奧利,维京古尔,2,2,,,,,,,,,,
2026-07-14,新圣徒,沙巴巴库,1,2,,,,,,,,,,
2026-07-14,法国,西班牙,0,2,,,,,,,,,,
2026-07-15,尼卡斯克,图凯拉特,0,2,,,,,,,,,,
2026-07-15,英格兰,阿根廷,1,2,,,,,,,,,,
2026-07-15,阿特比森,克拉克斯,1,2,,,,,,,,,,
2026-07-16,博塔弗戈,桑托斯,2,1,,,,,,,,,,
2026-07-16,圣路易斯,堪萨斯城,3,2,,,,,,,,,,
2026-07-16,德里城,索非陆军,1,2,,,,,,,,,,
2026-07-16,日利纳,斯海杜克,2,1,,,,,,,,,,
2026-07-16,瓦勒伦加,奥勒松,6,1,,,,,,,,,,
2026-07-16,维多利亚,达伽马,1,0,,,,,,,,,,
2026-07-16,蒙特利尔,多伦多,0,0,,,,,,,,,,
2026-07-16,西雅图,波特兰,1,5,,,,,,,,,,
2026-07-16,费伦茨瓦,伏伊伏丁,3,0,,,,,,,,,,
2026-07-17,博德闪耀,费特斯塔,1,0,,,,unavailable,zgzcw,2040534,2026-07-24T13:49:25.404396+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:49:25.404396+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040534""}],""schema_version"":1}"
2026-07-17,哥德堡,布鲁马波,2,1,,,,unavailable,zgzcw,2040532,2026-07-24T13:49:25.404373+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:49:25.404373+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040532""}],""schema_version"":1}"
2026-07-17,巴伊亚,沙佩科,2,0,,,,unavailable,zgzcw,2040535,2026-07-24T13:49:25.404399+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:49:25.404399+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040535""}],""schema_version"":1}"
2026-07-17,弗鲁米嫩,布拉干,1,1,,,,unavailable,zgzcw,2040536,2026-07-24T13:49:25.404402+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:49:25.404402+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040536""}],""schema_version"":1}"
2026-07-17,洛城银河,洛杉矶,0,3,,,,unavailable,zgzcw,2040539,2026-07-24T13:49:25.404418+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-24T13:49:25.404418+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040539""}],""schema_version"":1}"
2026-07-17,米亚尔比,瓦斯特拉,0,0,,,,unavailable,zgzcw,2040533,2026-07-24T13:49:25.404392+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:49:25.404392+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040533""}],""schema_version"":1}"
2026-07-17,米拉索,格雷米奥,2,1,,,,unavailable,zgzcw,2040537,2026-07-24T13:49:25.404405+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:49:25.404405+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040537""}],""schema_version"":1}"
2026-07-17,纳什威尔,亚特联,1,0,,,,unavailable,zgzcw,2040538,2026-07-24T13:49:25.404415+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:49:25.404415+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040538""}],""schema_version"":1}"
2026-07-21,济州SK,江原FC,1,1,,,,unavailable,zgzcw,2040580,2026-07-22T21:19:37.495422+08:00,regular_time_90,90,
2026-07-21,全北现代,大田市民,0,0,,,,unavailable,zgzcw,2040581,2026-07-22T21:19:37.495441+08:00,regular_time_90,90,
2026-07-21,蔚山现代,仁川联队,1,2,,,,unavailable,zgzcw,2040582,2026-07-22T21:19:37.495444+08:00,regular_time_90,90,
2026-07-21,米竞技,巴伊亚,1,1,,,,unavailable,zgzcw,2040583,2026-07-22T21:19:37.495446+08:00,regular_time_90,90,
2026-07-21,沙巴巴库,库普斯,1,0,,,,unavailable,zgzcw,2040595,2026-07-22T21:19:37.495448+08:00,regular_time_90,90,
2026-07-21,奥胡斯,波兹莱赫,1,4,,,,unavailable,zgzcw,2040601,2026-07-22T21:19:37.495451+08:00,regular_time_90,90,
2026-07-21,格风暴,哈茨,4,0,,,,unavailable,zgzcw,2040602,2026-07-22T21:19:37.495453+08:00,regular_time_90,90,
2026-07-22,首尔FC,浦项制铁,3,1,,,,unavailable,zgzcw,2040584,2026-07-23T13:48:32.921450+08:00,regular_time_90,90,
2026-07-22,富川FC,FC安养,2,3,,,,unavailable,zgzcw,2040585,2026-07-23T13:48:32.921466+08:00,regular_time_90,90,
2026-07-22,光州FC,金泉尚武,1,1,,,,unavailable,zgzcw,2040586,2026-07-23T13:48:32.921471+08:00,regular_time_90,90,
2026-07-22,博德闪耀,汉坎,3,0,,,,unavailable,zgzcw,2040587,2026-07-23T13:48:32.921475+08:00,regular_time_90,90,
2026-07-22,利勒斯特,维京,1,2,,,,unavailable,zgzcw,2040588,2026-07-23T13:48:32.921478+08:00,regular_time_90,90,
2026-07-22,迈阿密,芝加哥,3,2,,,,unavailable,zgzcw,2040589,2026-07-23T13:48:32.921481+08:00,regular_time_90,90,
2026-07-22,沙佩科,弗拉门戈,0,4,,,,unavailable,zgzcw,2040590,2026-07-23T13:48:32.921484+08:00,regular_time_90,90,
2026-07-22,圣保罗,巴竞技,1,2,,,,unavailable,zgzcw,2040591,2026-07-23T13:48:32.921487+08:00,regular_time_90,90,
2026-07-22,洛杉矶,盐湖城,3,1,,,,unavailable,zgzcw,2040592,2026-07-23T13:48:32.921490+08:00,regular_time_90,90,
2026-07-22,奥莫尼亚,图凯拉特,1,0,,,,unavailable,zgzcw,2040596,2026-07-23T13:48:32.921493+08:00,regular_time_90,90,
2026-07-18,法国,英格兰,4,6,,,,unavailable,zgzcw,2040540,2026-07-24T13:49:52.973004+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""6"",""captured_at_bjt"":""2026-07-24T13:49:52.973004+08:00"",""home_goals"":""4"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040540""}],""schema_version"":1}"
2026-07-18,大田市民,蔚山现代,2,2,,,,unavailable,zgzcw,2040546,2026-07-24T13:49:52.973031+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:49:52.973031+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040546""}],""schema_version"":1}"
2026-07-18,江原FC,金泉尚武,2,0,,,,unavailable,zgzcw,2040547,2026-07-24T13:49:52.973038+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:49:52.973038+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040547""}],""schema_version"":1}"
2026-07-18,济州SK,浦项制铁,2,1,,,,unavailable,zgzcw,2040548,2026-07-24T13:49:52.973042+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:49:52.973042+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040548""}],""schema_version"":1}"
2026-07-18,仁川联队,全北现代,1,0,,,,unavailable,zgzcw,2040549,2026-07-24T13:49:52.973045+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:49:52.973045+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040549""}],""schema_version"":1}"
2026-07-18,汉坎,特罗姆瑟,1,4,,,,unavailable,zgzcw,2040550,2026-07-24T13:49:52.973048+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""4"",""captured_at_bjt"":""2026-07-24T13:49:52.973048+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040550""}],""schema_version"":1}"
2026-07-18,赫尔辛基,瓦萨,2,1,,,,unavailable,zgzcw,2040551,2026-07-24T13:49:52.973051+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:49:52.973051+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040551""}],""schema_version"":1}"
2026-07-18,索尔纳,盖斯,2,0,,,,unavailable,zgzcw,2040552,2026-07-24T13:49:52.973054+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:49:52.973054+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040552""}],""schema_version"":1}"
2026-07-18,利勒斯特,KF奥斯陆,2,1,,,,unavailable,zgzcw,2040553,2026-07-24T13:49:52.973057+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:49:52.973057+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040553""}],""schema_version"":1}"
2026-07-18,斯达,罗森博格,0,3,,,,unavailable,zgzcw,2040554,2026-07-24T13:49:52.973060+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-24T13:49:52.973060+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040554""}],""schema_version"":1}"
2026-07-18,克里斯蒂,萨普斯堡,0,0,,,,unavailable,zgzcw,2040555,2026-07-24T13:49:52.973063+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:49:52.973063+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040555""}],""schema_version"":1}"
2026-07-18,奥卢,赫尔火花,0,2,,,,unavailable,zgzcw,2040556,2026-07-24T13:49:52.973065+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:49:52.973065+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040556""}],""schema_version"":1}"
2026-07-18,塞纳乔琪,库普斯,0,2,,,,unavailable,zgzcw,2040557,2026-07-24T13:49:52.973069+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:49:52.973069+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040557""}],""schema_version"":1}"
2026-07-18,莫尔德,布兰,1,2,,,,unavailable,zgzcw,2040558,2026-07-24T13:49:52.973073+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:49:52.973073+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040558""}],""schema_version"":1}"
2026-07-18,维京,桑纳菲,2,1,,,,unavailable,zgzcw,2040559,2026-07-24T13:49:52.973075+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:49:52.973075+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040559""}],""schema_version"":1}"
2026-07-19,西班牙,阿根廷,0,0,,,,unavailable,zgzcw,2040541,2026-07-24T13:52:00.463766+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:52:00.463766+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040541""}],""schema_version"":1}"
2026-07-19,富川FC,首尔FC,1,3,,,,unavailable,zgzcw,2040560,2026-07-24T13:52:00.463785+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-24T13:52:00.463785+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040560""}],""schema_version"":1}"
2026-07-19,FC安养,光州FC,1,1,,,,unavailable,zgzcw,2040561,2026-07-24T13:52:00.463790+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:52:00.463790+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040561""}],""schema_version"":1}"
2026-07-19,埃夫斯堡,天狼星,1,3,,,,unavailable,zgzcw,2040562,2026-07-24T13:52:00.463793+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-24T13:52:00.463793+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040562""}],""schema_version"":1}"
2026-07-19,哈斯塔德,赫根,0,2,,,,unavailable,zgzcw,2040563,2026-07-24T13:52:00.463796+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:52:00.463796+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040563""}],""schema_version"":1}"
2026-07-19,哈马比,代格福什,4,0,,,,unavailable,zgzcw,2040564,2026-07-24T13:52:00.463800+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:52:00.463800+08:00"",""home_goals"":""4"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040564""}],""schema_version"":1}"
2026-07-19,雅罗,国际图尔,0,0,,,,unavailable,zgzcw,2040565,2026-07-24T13:52:00.463802+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:52:00.463802+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040565""}],""schema_version"":1}"
2026-07-20,图尔库,埃尔维斯,1,3,,,,unavailable,zgzcw,2040566,2026-07-24T13:52:47.840075+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-24T13:52:47.840075+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040566""}],""schema_version"":1}"
2026-07-20,玛丽港,拉赫蒂,0,2,,,,unavailable,zgzcw,2040567,2026-07-24T13:52:47.840091+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:52:47.840091+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040567""}],""schema_version"":1}"
2026-07-20,厄格里特,佐加顿斯,0,0,,,,unavailable,zgzcw,2040568,2026-07-24T13:52:47.840095+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:52:47.840095+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040568""}],""schema_version"":1}"
2026-07-20,卡尔马,马尔默,2,2,,,,unavailable,zgzcw,2040569,2026-07-24T13:52:47.840098+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:52:47.840098+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040569""}],""schema_version"":1}"
2026-07-23,科林蒂安,雷莫,3,0,,,2040594,finished,zgzcw,2040594,2026-07-24T13:56:30.776347+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:56:30.776347+08:00"",""home_goals"":""3"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040594""}],""schema_version"":1}"
2026-07-23,博塔弗戈,维多利亚,0,0,,,2040593,finished,zgzcw,2040593,2026-07-24T13:56:30.776364+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:56:30.776364+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040593""}],""schema_version"":1}"
2026-07-23,哈马比,安德莱赫,1,1,,,2040597,finished,zgzcw,2040597,2026-07-24T13:56:30.776368+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:56:30.776368+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040597""}],""schema_version"":1}"
2026-07-23,圣加仑,本菲卡,2,1,,,2040603,finished,zgzcw,2040603,2026-07-24T13:56:30.776371+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:56:30.776371+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040603""}],""schema_version"":1}"
2026-07-23,贝西克塔斯,中日德兰,1,0,,,2040598,finished,zgzcw,2040598,2026-07-24T13:56:30.776374+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:56:30.776374+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040598""}],""schema_version"":1}"
2026-07-23,特温特,费伦茨瓦,1,2,,,2040599,finished,zgzcw,2040599,2026-07-24T13:56:30.776377+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:56:30.776377+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040599""}],""schema_version"":1}"
2026-07-23,斯海杜克,帕佛斯FC,2,0,,,2040600,finished,zgzcw,2040600,2026-07-24T13:56:30.776380+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:56:30.776380+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040600""}],""schema_version"":1}"
